"_time","src_ip","dest_ip",user,action,sourcetype,host
"2018-08-20T17:55:23.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T17:51:11.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T17:51:16.000+0300",,"BTUN-L","BTUN-L$
SYSTEM",success,WinEventLog,"BTUN-L"
"2018-08-20T18:01:26.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:01:26.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:00:17.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T17:59:57.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T17:59:22.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T17:58:32.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T17:57:39.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T17:51:59.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T17:56:11.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:16:54.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:16:37.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:16:37.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:16:28.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:12:50.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T18:12:44.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:10:31.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:07:34.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:03:49.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:02:49.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T16:26:28.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:26:27.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:26:25.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:23:59.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T16:23:04.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T16:22:42.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:20:01.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:18:24.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:18:17.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:18:01.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:17:47.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T16:17:44.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:17:41.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:17:27.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:17:04.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:17:03.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:16:59.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:16:40.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:16:12.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:16:20.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T16:15:12.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:14:32.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T16:14:25.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:12:52.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:11:51.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:10:38.000+0300",,"BTUN-L","BTUN-L$
SYSTEM",success,WinEventLog,"BTUN-L"
"2018-08-20T16:10:31.000+0300",,"BTUN-L","BTUN-L$
SYSTEM",success,WinEventLog,"BTUN-L"
"2018-08-20T16:10:20.000+0300",,"BTUN-L","BTUN-L$
SYSTEM",success,WinEventLog,"BTUN-L"
"2018-08-20T16:10:06.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T16:10:06.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T16:07:53.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:06:59.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:06:17.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:05:31.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T16:04:35.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T16:03:43.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:02:55.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:02:55.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:02:53.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:02:51.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:02:27.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:01:54.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:01:54.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T15:58:02.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T15:55:16.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T15:55:13.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T15:59:53.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T15:57:47.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T15:54:46.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T15:57:20.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T15:53:59.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T15:52:15.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T15:51:56.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:35:27.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:26.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:26.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:26.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:26.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:25.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:24.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:24.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:24.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:24.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:24.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:24.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:24.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:24.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:24.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:23.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:23.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:23.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:23.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:23.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:22.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:22.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:22.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:22.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:22.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
LOCAL SERVICE",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
DWM-1",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
DWM-1",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
NETWORK SERVICE",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
UMFD-0",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:21.000+0300",,"BSTOLL-L","BSTOLL-L$
UMFD-1",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:35:12.000+0300",,"BTUN-L","BTUN-L$
SYSTEM",success,WinEventLog,"BTUN-L"
"2018-08-20T16:34:01.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:33:59.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:33:53.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:33:31.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:33:21.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:33:01.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:33:00.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:31:14.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:30:37.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:29:03.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:28:47.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:28:26.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:28:16.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:28:16.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:28:15.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:28:15.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:26:47.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T17:02:48.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T17:02:48.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:57:02.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:57:06.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T16:57:01.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
"2018-08-20T16:56:59.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:56:33.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:51:08.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T16:50:33.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T16:50:23.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T16:49:48.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
